,date,sales,state,customer
2176,2017-06-20,3750.0,MA,Customer 426
4017,2017-06-20,4650.0,CA,Customer 744
3468,2017-06-20,370.35,MI,Customer 660
2646,2017-06-20,150.0,CO,Customer 507
463,2017-06-21,399.3,MA,Customer 87
464,2017-06-21,3750.0,MA,Customer 87
1539,2017-06-21,0.0,PR,Customer 317
1541,2017-06-21,0.0,PR,Customer 317
1540,2017-06-21,0.0,PR,Customer 317
4101,2017-06-22,399.3,VT,Customer 759
4102,2017-06-22,3750.0,VT,Customer 759
1411,2017-06-22,1200.0,HI,Customer 271
1410,2017-06-22,3750.0,HI,Customer 271
1101,2017-06-23,0.0,PA,Customer 198
2252,2017-06-23,0.0,TX,Customer 443
540,2017-06-23,1020.0,IN,Customer 103
50,2017-06-23,300.0,IN,Customer 12
1100,2017-06-23,0.0,PA,Customer 198
2253,2017-06-23,0.0,TX,Customer 443
1102,2017-06-23,150.0,PA,Customer 198
3920,2017-06-26,3750.0,NY,Customer 738
3919,2017-06-26,333.29999999999995,NY,Customer 738
84,2017-06-26,0.0,CA,Customer 18
3456,2017-06-26,1195.2,MA,Customer 655
3455,2017-06-26,11250.0,MA,Customer 655
2684,2017-06-27,3750.0,VA,Customer 517
2685,2017-06-27,470.1,VA,Customer 517
2683,2017-06-27,398.4,MA,Customer 515
2284,2017-06-27,3750.0,NJ,Customer 450
2916,2017-06-27,0.0,NJ,Customer 560
2682,2017-06-27,3750.0,MA,Customer 515
986,2017-06-28,855.0,IN,Customer 175
2847,2017-06-28,0.0,ME,Customer 548
2711,2017-06-28,739.2,NJ,Customer 525
2708,2017-06-28,0.0,NJ,Customer 525
2709,2017-06-28,0.0,NJ,Customer 525
2712,2017-06-28,3750.0,NJ,Customer 525
988,2017-06-28,837.0,IN,Customer 175
2285,2017-06-28,455.1,NJ,Customer 450
2286,2017-06-28,3750.0,NJ,Customer 450
2710,2017-06-28,4050.0,NJ,Customer 525
2846,2017-06-28,1936.5,ME,Customer 548
987,2017-06-28,837.0,IN,Customer 175
2989,2017-06-29,190.65,NY,Customer 576
2990,2017-06-29,888.0,NY,Customer 576
51,2017-06-29,75.0,IN,Customer 12
2988,2017-06-29,1310.85,NY,Customer 576
2987,2017-06-29,12150.0,NY,Customer 576
85,2017-06-29,0.0,PA,Customer 19
1502,2017-06-29,0.0,CA,Customer 308
1501,2017-06-29,0.0,CA,Customer 308
154,2017-06-29,0.0,IL,Customer 39
157,2017-06-29,0.0,IL,Customer 39
53,2017-06-29,4050.0,IN,Customer 12
155,2017-06-29,0.0,IL,Customer 39
515,2017-06-29,8100.0,IN,Customer 97
516,2017-06-29,4320.0,IN,Customer 97
517,2017-06-29,225.0,IN,Customer 97
54,2017-06-29,3750.0,IN,Customer 12
52,2017-06-29,2437.5,IN,Customer 12
156,2017-06-29,0.0,IL,Customer 39
3149,2017-07-03,4050.0,NJ,Customer 598
3148,2017-07-03,807.6,NJ,Customer 598
3147,2017-07-03,3750.0,NJ,Customer 598
240,2017-07-03,0.0,FL,Customer 59
1826,2017-07-05,3750.0,FL,Customer 375
1043,2017-07-05,450.0,CA,Customer 190
3393,2017-07-05,0.0,NY,Customer 639
1825,2017-07-05,483.29999999999995,FL,Customer 375
1044,2017-07-05,0.0,CA,Customer 190
2304,2017-07-06,0.0,IN,Customer 454
561,2017-07-06,0.0,GA,Customer 114
4246,2017-07-07,3750.0,FL,Customer 796
4247,2017-07-07,398.4,FL,Customer 796
1792,2017-07-07,0.0,MA,Customer 368
1014,2017-07-07,0.0,OH,Customer 182
2787,2017-07-11,0.0,IL,Customer 534
236,2017-07-11,3750.0,MD,Customer 58
237,2017-07-11,403.8,MD,Customer 58
3227,2017-07-11,7500.0,MA,Customer 605
3228,2017-07-11,796.8,MA,Customer 605
4040,2017-07-11,737.1,WA,Customer 751
4039,2017-07-11,3750.0,WA,Customer 751
1698,2017-07-12,0.0,PA,Customer 345
1699,2017-07-12,0.0,PA,Customer 345
4020,2017-07-13,-450.0,CA,Customer 744
4019,2017-07-13,9000.0,CA,Customer 744
1522,2017-07-13,0.0,OH,Customer 312
2307,2017-07-13,4050.0,IN,Customer 454
2306,2017-07-13,3750.0,IN,Customer 454
2305,2017-07-13,474.0,IN,Customer 454
4021,2017-07-13,0.0,CA,Customer 744
2758,2017-07-14,7500.0,VA,Customer 529
466,2017-07-14,3750.0,MA,Customer 87
2759,2017-07-14,666.5999999999999,VA,Customer 529
465,2017-07-14,398.4,MA,Customer 87
3826,2017-07-14,3750.0,MA,Customer 719
4256,2017-07-14,0.0,other,
3827,2017-07-14,398.4,MA,Customer 719
3616,2017-07-14,472.5,NJ,Customer 684
1383,2017-07-14,150.0,PA,Customer 262
901,2017-07-14,3750.0,UT,Customer 172
902,2017-07-14,571.65,UT,Customer 172
3615,2017-07-14,3750.0,NJ,Customer 684
1384,2017-07-14,0.0,PA,Customer 262
3301,2017-07-14,0.0,MA,Customer 622
4060,2017-07-14,0.0,AZ,Customer 753
2423,2017-07-15,11250.0,HI,Customer 473
2424,2017-07-15,3600.0,HI,Customer 473
3471,2017-07-17,369.6,MI,Customer 660
1946,2017-07-17,629.0999999999999,NJ,Customer 388
1944,2017-07-17,0.0,NJ,Customer 388
3470,2017-07-17,3750.0,MI,Customer 660
1945,2017-07-17,-22.8,NJ,Customer 388
1213,2017-07-18,11250.0,CA,Customer 225
1212,2017-07-18,1737.9,CA,Customer 225
2994,2017-07-18,7500.0,NY,Customer 576
2993,2017-07-18,4050.0,NY,Customer 576
2991,2017-07-18,877.1999999999999,NY,Customer 576
2686,2017-07-18,0.0,MN,Customer 518
691,2017-07-18,3750.0,MO,Customer 132
692,2017-07-18,354.6,MO,Customer 132
693,2017-07-18,0.0,MO,Customer 132
2992,2017-07-18,436.95,NY,Customer 576
2687,2017-07-18,0.0,MN,Customer 518
20,2017-07-18,0.0,CA,Customer 6
2995,2017-07-18,12150.0,NY,Customer 576
2996,2017-07-18,1310.85,NY,Customer 576
1007,2017-07-19,4050.0,other,
1008,2017-07-19,666.5999999999999,other,
1009,2017-07-19,3750.0,other,
2082,2017-07-19,0.0,CA,Customer 417
1328,2017-07-19,0.0,MO,Customer 249
2094,2017-07-20,579.3,ID,Customer 419
2093,2017-07-20,-129.29999999999998,ID,Customer 419
3803,2017-07-20,0.0,MO,Customer 715
3804,2017-07-20,0.0,MO,Customer 715
2092,2017-07-20,3750.0,ID,Customer 419
2796,2017-07-20,0.0,DA,Customer 541
2713,2017-07-20,739.8,NJ,Customer 525
147,2017-07-20,0.0,VA,Customer 37
2714,2017-07-20,3750.0,NJ,Customer 525
2715,2017-07-20,4050.0,NJ,Customer 525
1477,2017-07-20,0.0,TX,Customer 291
2504,2017-07-21,0.0,MA,Customer 483
2343,2017-07-21,0.0,CO,Customer 456
2505,2017-07-21,0.0,MA,Customer 483
3562,2017-07-25,3750.0,WY,Customer 673
3563,2017-07-25,530.7,WY,Customer 673
1112,2017-07-25,-375.0,MA,Customer 203
1110,2017-07-25,398.4,MA,Customer 203
1111,2017-07-25,3750.0,MA,Customer 203
2178,2017-07-26,2173.5,MA,Customer 426
2179,2017-07-26,18750.0,MA,Customer 426
2997,2017-07-26,8100.0,NY,Customer 576
2998,2017-07-26,873.9,NY,Customer 576
3443,2017-07-26,3750.0,OK,Customer 653
2999,2017-07-26,1776.0,NY,Customer 576
3000,2017-07-26,381.3,NY,Customer 576
3444,2017-07-26,398.4,OK,Customer 653
2419,2017-07-26,0.0,WI,Customer 471
1330,2017-07-27,3750.0,MO,Customer 249
1329,2017-07-27,333.29999999999995,MO,Customer 249
1341,2017-07-28,0.0,MT,Customer 253
1340,2017-07-28,0.0,MT,Customer 253
776,2017-07-28,0.0,other,Customer 148
3524,2017-07-28,3750.0,KA,Customer 668
775,2017-07-28,690.0,other,Customer 148
3523,2017-07-28,1356.0,KA,Customer 668
4014,2017-07-31,0.0,CA,Customer 742
4013,2017-07-31,0.0,CA,Customer 742
3806,2017-07-31,3750.0,MO,Customer 715
2095,2017-07-31,7500.0,ID,Customer 419
2524,2017-07-31,314.54999999999995,WA,Customer 484
2096,2017-07-31,1158.6,ID,Customer 419
2525,2017-07-31,-13.65,WA,Customer 484
129,2017-07-31,0.0,TX,Customer 33
3805,2017-07-31,403.8,MO,Customer 715
128,2017-07-31,0.0,TX,Customer 33
56,2017-08-01,2437.5,IN,Customer 12
3303,2017-08-01,4050.0,MA,Customer 622
3302,2017-08-01,434.7,MA,Customer 622
2344,2017-08-01,0.0,CO,Customer 456
2760,2017-08-01,666.5999999999999,VA,Customer 529
2761,2017-08-01,7500.0,VA,Customer 529
3472,2017-08-01,3750.0,MI,Customer 660
3473,2017-08-01,369.6,MI,Customer 660
3446,2017-08-01,0.0,CT,Customer 654
3445,2017-08-01,0.0,CT,Customer 654
3054,2017-08-01,0.0,LA,Customer 583
3055,2017-08-01,0.0,LA,Customer 583
55,2017-08-01,75.0,IN,Customer 12
21,2017-08-01,0.0,CA,Customer 6
158,2017-08-02,3750.0,IL,Customer 39
159,2017-08-02,287.25,IL,Customer 39
3098,2017-08-03,0.0,CT,Customer 590
1425,2017-08-03,0.0,IL,Customer 280
4098,2017-08-03,0.0,TN,Customer 757
3428,2017-08-03,0.0,SC,Customer 651
3427,2017-08-03,0.0,SC,Customer 651
4063,2017-08-03,4050.0,AZ,Customer 753
4061,2017-08-03,3750.0,AZ,Customer 753
3097,2017-08-03,0.0,CT,Customer 590
4062,2017-08-03,1158.6,AZ,Customer 753
270,2017-08-04,0.0,other,
271,2017-08-04,0.0,other,
3447,2017-08-04,0.0,CT,Customer 654
563,2017-08-04,333.29999999999995,GA,Customer 114
562,2017-08-04,3750.0,GA,Customer 114
3510,2017-08-04,0.0,GA,Customer 666
3511,2017-08-04,0.0,GA,Customer 666
1273,2017-08-04,3750.0,TX,Customer 240
1272,2017-08-04,472.5,TX,Customer 240
1168,2017-08-04,0.0,NY,Customer 214
1169,2017-08-04,0.0,NY,Customer 214
399,2017-08-04,-10.649999999999999,VA,Customer 79
2097,2017-08-04,1158.6,ID,Customer 419
400,2017-08-04,209.70000000000002,VA,Customer 79
2098,2017-08-04,8100.0,ID,Customer 419
22,2017-08-04,0.0,CA,Customer 6
2648,2017-08-07,3750.0,CO,Customer 507
2649,2017-08-07,472.5,CO,Customer 507
1451,2017-08-07,0.0,NY,Customer 282
484,2017-08-07,3750.0,TX,Customer 89
483,2017-08-07,398.4,TX,Customer 89
2717,2017-08-07,329.40000000000003,NJ,Customer 525
2716,2017-08-07,3750.0,NJ,Customer 525
1352,2017-08-07,0.0,NY,Customer 257
1351,2017-08-07,0.0,NY,Customer 257
1701,2017-08-08,0.0,PA,Customer 345
2949,2017-08-08,0.0,TX,Customer 570
3592,2017-08-08,0.0,FL,Customer 678
3591,2017-08-08,0.0,FL,Customer 678
2950,2017-08-08,0.0,TX,Customer 570
3922,2017-08-08,333.29999999999995,NY,Customer 738
3921,2017-08-08,3750.0,NY,Customer 738
3844,2017-08-08,0.0,TN,Customer 720
1259,2017-08-08,398.4,NJ,Customer 233
2255,2017-08-08,0.0,SC,Customer 444
2254,2017-08-08,0.0,SC,Customer 444
3843,2017-08-08,0.0,TN,Customer 720
1260,2017-08-08,4050.0,NJ,Customer 233
1700,2017-08-08,0.0,PA,Customer 345
4103,2017-08-09,398.4,VT,Customer 759
4104,2017-08-09,3750.0,VT,Customer 759
1966,2017-08-09,3750.0,NJ,Customer 400
3350,2017-08-09,11250.0,NC,Customer 633
1965,2017-08-09,398.4,NJ,Customer 400
1702,2017-08-09,3750.0,PA,Customer 345
3348,2017-08-09,12150.0,NC,Customer 633
3349,2017-08-09,1999.8,NC,Customer 633
1703,2017-08-09,292.8,PA,Customer 345
1274,2017-08-10,0.0,TX,Customer 240
467,2017-08-10,398.4,MA,Customer 87
468,2017-08-10,3750.0,MA,Customer 87
3150,2017-08-10,4050.0,NJ,Customer 598
3151,2017-08-10,666.5999999999999,NJ,Customer 598
3152,2017-08-10,3750.0,NJ,Customer 598
1571,2017-08-10,0.0,MI,Customer 323
1570,2017-08-10,0.0,MI,Customer 323
93,2017-08-11,0.0,TX,Customer 21
92,2017-08-11,0.0,TX,Customer 21
94,2017-08-11,0.0,TX,Customer 21
3046,2017-08-11,0.0,HI,Customer 580
3047,2017-08-11,0.0,HI,Customer 580
3048,2017-08-11,300.0,HI,Customer 580
95,2017-08-11,0.0,TX,Customer 21
1829,2017-08-14,3750.0,FL,Customer 375
1828,2017-08-14,523.8000000000001,FL,Customer 375
3002,2017-08-14,12150.0,NY,Customer 576
3001,2017-08-14,888.0,NY,Customer 576
3943,2017-08-14,0.0,FL,Customer 741
3004,2017-08-14,4050.0,NY,Customer 576
3003,2017-08-14,1929.4499999999998,NY,Customer 576
3942,2017-08-14,0.0,FL,Customer 741
1827,2017-08-14,-125.39999999999999,FL,Customer 375
1967,2017-08-14,-375.0,NJ,Customer 400
1360,2017-08-15,4050.0,DA,Customer 260
2953,2017-08-15,0.0,TX,Customer 570
1359,2017-08-15,3750.0,DA,Customer 260
2952,2017-08-15,416.25,TX,Customer 570
519,2017-08-15,2390.4,PA,Customer 101
1363,2017-08-15,4050.0,DA,Customer 260
2951,2017-08-15,3750.0,TX,Customer 570
1362,2017-08-15,1593.6,DA,Customer 260
1361,2017-08-15,4050.0,DA,Customer 260
518,2017-08-15,22500.0,PA,Customer 101
3669,2017-08-16,300.0,FL,Customer 690
3312,2017-08-16,0.0,CA,Customer 623
3713,2017-08-16,0.0,TX,Customer 698
3313,2017-08-16,0.0,CA,Customer 623
3668,2017-08-16,0.0,FL,Customer 690
16,2017-08-16,0.0,CA,Customer 4
17,2017-08-16,0.0,CA,Customer 4
2506,2017-08-16,523.8000000000001,MA,Customer 483
15,2017-08-16,0.0,CA,Customer 4
14,2017-08-16,0.0,CA,Customer 4
1427,2017-08-16,600.0,IL,Customer 280
1426,2017-08-16,600.0,IL,Customer 280
18,2017-08-16,0.0,CA,Customer 4
2507,2017-08-16,4050.0,MA,Customer 483
3712,2017-08-16,300.0,TX,Customer 698
3315,2017-08-16,0.0,CA,Customer 623
226,2017-08-16,0.0,MA,Customer 53
3314,2017-08-16,0.0,CA,Customer 623
225,2017-08-16,0.0,MA,Customer 53
19,2017-08-16,0.0,CA,Customer 4
239,2017-08-17,2783.1,MD,Customer 58
238,2017-08-17,30000.0,MD,Customer 58
2346,2017-08-18,3750.0,CO,Customer 456
4059,2017-08-18,0.0,CA,Customer 752
2345,2017-08-18,4050.0,CO,Customer 456
2663,2017-08-18,0.0,NY,Customer 512
2347,2017-08-18,984.9,CO,Customer 456
2015,2017-08-18,0.0,CA,Customer 408
2016,2017-08-18,0.0,CA,Customer 408
3476,2017-08-18,0.0,MA,Customer 662
3477,2017-08-18,0.0,MA,Customer 662
1099,2017-08-18,0.0,NY,Customer 197
2851,2017-08-19,0.0,ME,Customer 548
2848,2017-08-19,0.0,ME,Customer 548
2849,2017-08-19,0.0,ME,Customer 548
2850,2017-08-19,2556.0,ME,Customer 548
3448,2017-08-21,3750.0,CT,Customer 654
3449,2017-08-21,399.3,CT,Customer 654
2718,2017-08-22,3750.0,NJ,Customer 525
2719,2017-08-22,370.35,NJ,Customer 525
3944,2017-08-22,0.0,FL,Customer 741
3235,2017-08-22,3750.0,AZ,Customer 606
1432,2017-08-22,0.0,NY,Customer 281
1307,2017-08-22,0.0,ID,Customer 247
3236,2017-08-22,616.95,AZ,Customer 606
1433,2017-08-22,0.0,NY,Customer 281
3828,2017-08-23,3750.0,MA,Customer 719
3829,2017-08-23,399.3,MA,Customer 719
1704,2017-08-23,3750.0,PA,Customer 345
160,2017-08-23,3750.0,IL,Customer 39
1705,2017-08-23,334.05,PA,Customer 345
161,2017-08-23,287.85,IL,Customer 39
1339,2017-08-24,0.0,CA,Customer 252
1338,2017-08-24,0.0,CA,Customer 252
2310,2017-08-25,475.2,IN,Customer 454
179,2017-08-25,0.0,PA,Customer 42
2308,2017-08-25,3750.0,IN,Customer 454
4198,2017-08-25,744.0,NY,Customer 788
2309,2017-08-25,4050.0,IN,Customer 454
4197,2017-08-25,7500.0,NY,Customer 788
214,2017-08-25,0.0,SC,Customer 49
213,2017-08-25,0.0,SC,Customer 49
180,2017-08-25,300.0,PA,Customer 42
469,2017-08-29,3750.0,MA,Customer 87
2099,2017-08-29,1741.9499999999998,ID,Customer 419
2100,2017-08-29,7500.0,ID,Customer 419
2101,2017-08-29,4050.0,ID,Customer 419
470,2017-08-29,399.3,MA,Customer 87
1969,2017-08-30,798.6,NJ,Customer 400
1968,2017-08-30,7500.0,NJ,Customer 400
3005,2017-08-30,8100.0,NY,Customer 576
2395,2017-08-30,0.0,TX,Customer 468
2394,2017-08-30,0.0,TX,Customer 468
1613,2017-08-30,0.0,CA,Customer 330
1612,2017-08-30,0.0,CA,Customer 330
3006,2017-08-30,878.6999999999999,NY,Customer 576
1673,2017-08-31,0.0,FL,Customer 339
3101,2017-08-31,798.6,CT,Customer 590
3100,2017-08-31,4050.0,CT,Customer 590
217,2017-08-31,4050.0,SC,Customer 49
216,2017-08-31,3750.0,SC,Customer 49
215,2017-08-31,912.0,SC,Customer 49
3099,2017-08-31,3750.0,CT,Customer 590
1674,2017-08-31,0.0,FL,Customer 339
3421,2017-09-01,0.0,NY,Customer 647
3422,2017-09-01,0.0,NY,Customer 647
2508,2017-09-04,0.0,MA,Customer 483
3714,2017-09-04,473.55,TX,Customer 698
3715,2017-09-04,3750.0,TX,Customer 698
3474,2017-09-05,3750.0,MI,Customer 660
1528,2017-09-05,0.0,SC,Customer 315
3475,2017-09-05,370.35,MI,Customer 660
1488,2017-09-05,0.0,CA,Customer 296
1487,2017-09-05,0.0,CA,Customer 296
3378,2017-09-05,0.0,OH,Customer 637
3377,2017-09-05,0.0,OH,Customer 637
1309,2017-09-05,580.65,ID,Customer 247
1308,2017-09-05,3750.0,ID,Customer 247
4129,2017-09-05,0.0,MI,Customer 763
4131,2017-09-05,150.0,MI,Customer 763
4130,2017-09-05,150.0,MI,Customer 763
1596,2017-09-06,15000.0,NC,Customer 329
3522,2017-09-06,0.0,AR,Customer 667
1595,2017-09-06,1618.1999999999998,NC,Customer 329
59,2017-09-07,2437.5,IN,Customer 12
57,2017-09-07,75.0,IN,Customer 12
3670,2017-09-07,0.0,TX,Customer 691
3671,2017-09-07,417.15,TX,Customer 691
58,2017-09-07,1530.0,IN,Customer 12
3672,2017-09-07,3750.0,TX,Customer 691
3846,2017-09-08,0.0,TN,Customer 720
3845,2017-09-08,0.0,TN,Customer 720
1616,2017-09-08,3750.0,CA,Customer 330
1615,2017-09-08,1300.2,CA,Customer 330
4106,2017-09-08,3750.0,VT,Customer 759
4105,2017-09-08,399.3,VT,Customer 759
1614,2017-09-08,4050.0,CA,Customer 330
4196,2017-09-11,0.0,IL,Customer 787
3392,2017-09-11,0.0,CA,Customer 638
3391,2017-09-11,0.0,CA,Customer 638
3390,2017-09-11,0.0,CA,Customer 638
167,2017-09-11,0.0,CA,Customer 40
168,2017-09-11,0.0,CA,Customer 40
169,2017-09-11,0.0,CA,Customer 40
578,2017-09-11,0.0,VA,Customer 118
577,2017-09-11,0.0,VA,Customer 118
171,2017-09-11,0.0,CA,Customer 40
4195,2017-09-11,0.0,IL,Customer 787
170,2017-09-11,0.0,CA,Customer 40
182,2017-09-12,3750.0,PA,Customer 42
2074,2017-09-12,0.0,NJ,Customer 414
2075,2017-09-12,0.0,NJ,Customer 414
4171,2017-09-12,0.0,CA,Customer 776
4172,2017-09-12,0.0,CA,Customer 776
181,2017-09-12,334.05,PA,Customer 42
822,2017-09-13,0.0,MI,Customer 154
3154,2017-09-13,3750.0,NJ,Customer 598
1306,2017-09-13,0.0,CA,Customer 246
1305,2017-09-13,0.0,CA,Customer 246
432,2017-09-13,0.0,TN,Customer 86
3155,2017-09-13,668.1,NJ,Customer 598
3153,2017-09-13,4050.0,NJ,Customer 598
433,2017-09-13,0.0,TN,Customer 86
4023,2017-09-14,0.0,MO,Customer 746
4024,2017-09-14,0.0,MO,Customer 746
1403,2017-09-15,0.0,TN,Customer 268
133,2017-09-15,0.0,CO,Customer 34
1402,2017-09-15,0.0,TN,Customer 268
4035,2017-09-18,0.0,CA,Customer 749
1824,2017-09-18,0.0,CA,Customer 374
3,2017-09-18,888.0,CT,Customer 2
3847,2017-09-18,-375.0,TN,Customer 720
1823,2017-09-18,0.0,CA,Customer 374
2,2017-09-18,0.0,CT,Customer 2
1214,2017-09-18,11250.0,CA,Customer 225
1215,2017-09-18,0.0,CA,Customer 225
1216,2017-09-18,-176.54999999999998,CA,Customer 225
1217,2017-09-18,1922.1,CA,Customer 225
4036,2017-09-18,0.0,CA,Customer 749
3849,2017-09-18,3750.0,TN,Customer 720
3848,2017-09-18,288.15000000000003,TN,Customer 720
1706,2017-09-19,3750.0,PA,Customer 345
1707,2017-09-19,334.65,PA,Customer 345
2311,2017-09-20,0.0,IN,Customer 454
4174,2017-09-20,0.0,CA,Customer 777
3033,2017-09-20,0.0,CA,Customer 579
579,2017-09-20,334.65,VA,Customer 118
2312,2017-09-20,0.0,IN,Customer 454
2313,2017-09-20,0.0,IN,Customer 454
581,2017-09-20,-375.0,VA,Customer 118
580,2017-09-20,3750.0,VA,Customer 118
3032,2017-09-20,0.0,CA,Customer 579
1529,2017-09-20,0.0,SC,Customer 315
3031,2017-09-20,0.0,CA,Customer 579
1779,2017-09-20,0.0,FL,Customer 362
281,2017-09-20,0.0,CA,Customer 65
282,2017-09-20,0.0,CA,Customer 65
1778,2017-09-20,0.0,FL,Customer 362
4173,2017-09-20,0.0,CA,Customer 777
4153,2017-09-21,0.0,other,Customer 773
4154,2017-09-21,0.0,other,Customer 773
1422,2017-09-21,0.0,IA,Customer 277
2854,2017-09-21,0.0,ME,Customer 548
2853,2017-09-21,0.0,ME,Customer 548
2852,2017-09-21,0.0,ME,Customer 548
3479,2017-09-22,474.6,MA,Customer 662
3478,2017-09-22,3750.0,MA,Customer 662
3480,2017-09-22,-375.0,MA,Customer 662
2017,2017-09-25,0.0,CA,Customer 408
273,2017-09-25,0.0,CA,Customer 62
2018,2017-09-25,0.0,CA,Customer 408
2019,2017-09-25,0.0,CA,Customer 408
272,2017-09-25,0.0,CA,Customer 62
275,2017-09-25,0.0,CA,Customer 62
2020,2017-09-25,0.0,CA,Customer 408
274,2017-09-25,0.0,CA,Customer 62
3269,2017-09-25,0.0,CA,Customer 613
3270,2017-09-25,0.0,CA,Customer 613
472,2017-09-26,3750.0,MA,Customer 87
471,2017-09-26,400.95,MA,Customer 87
4258,2017-09-27,3750.0,other,
4259,2017-09-27,801.9,other,
4257,2017-09-27,4050.0,other,
1046,2017-09-27,0.0,CA,Customer 191
1045,2017-09-27,0.0,CA,Customer 191
2103,2017-09-28,7500.0,ID,Customer 419
61,2017-09-28,75.0,IN,Customer 12
3727,2017-09-28,0.0,ID,Customer 701
60,2017-09-28,2437.5,IN,Customer 12
2102,2017-09-28,1166.4,ID,Customer 419
3728,2017-09-28,0.0,ID,Customer 701
621,2017-09-29,455.1,NM,Customer 126
4132,2017-09-29,4050.0,MI,Customer 763
4133,2017-09-29,3750.0,MI,Customer 763
622,2017-09-29,3750.0,NM,Customer 126
2793,2017-09-29,7500.0,other,Customer 539
4134,2017-09-29,744.0,MI,Customer 763
2792,2017-09-29,801.9,other,Customer 539
3527,2017-10-02,0.0,FL,Customer 670
2518,2017-10-02,0.0,other,
3528,2017-10-02,0.0,FL,Customer 670
2519,2017-10-02,0.0,other,
1429,2017-10-02,3750.0,IL,Customer 280
2942,2017-10-02,0.0,CA,Customer 565
130,2017-10-02,3750.0,TX,Customer 33
131,2017-10-02,-375.0,TX,Customer 33
132,2017-10-02,475.5,TX,Customer 33
2941,2017-10-02,0.0,CA,Customer 565
1428,2017-10-02,288.75,IL,Customer 280
2979,2017-10-03,0.0,FL,Customer 572
2978,2017-10-03,0.0,FL,Customer 572
2954,2017-10-03,3750.0,TX,Customer 570
2955,2017-10-03,400.95,TX,Customer 570
1175,2017-10-04,0.0,IL,Customer 219
1174,2017-10-04,0.0,IL,Customer 219
872,2017-10-04,3750.0,FL,Customer 165
3462,2017-10-04,0.0,IL,Customer 659
873,2017-10-04,400.95,FL,Customer 165
3318,2017-10-05,0.0,CA,Customer 625
435,2017-10-05,3750.0,TN,Customer 86
